                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.54417,                0.92131,                0.26186,                0.86104,                0.93777,                0.93564,                 0.9568,                0.71285,                0.92274,                0.91674,                0.94736,                0.66113,                0.84284,                 1.4857,                0.38762,                0.99102,               0.001585,               0.001585,               0.001585
                     87,                 0.5443,                 0.9228,                0.26254,                0.85806,                0.95063,                0.93915,                 0.9604,                 0.7134,                0.93777,                0.91548,                0.94674,                0.66719,                0.85446,                 1.4864,                 0.3858,                 1.0032,               0.001486,               0.001486,               0.001486
                     88,                0.53717,                0.91745,                0.26313,                0.85666,                0.94527,                0.94184,                0.95952,                0.71174,                0.93673,                0.91235,                0.94586,                0.66246,                0.85315,                 1.4826,                0.38283,                  1.003,               0.001387,               0.001387,               0.001387
                     89,                0.52539,                0.90062,                0.25664,                0.85284,                0.95583,                0.93518,                0.96234,                0.71192,                0.95586,                0.90214,                 0.9458,                0.66708,                0.85412,                 1.4989,                0.37999,                 0.9947,               0.001288,               0.001288,               0.001288
                     90,                0.50887,                 0.8532,                0.23335,                  0.838,                0.93262,                0.94271,                0.95405,                0.71164,                0.91297,                0.92299,                0.93946,                0.65927,                0.86431,                 1.5006,                0.38646,                 1.0046,               0.001189,               0.001189,               0.001189
                     91,                0.49885,                0.83666,                0.22883,                0.83505,                 0.9458,                0.94204,                0.96135,                0.70984,                0.94345,                 0.8932,                0.94377,                0.65488,                0.86078,                 1.4975,                0.38447,                 1.0044,                0.00109,                0.00109,                0.00109
                     92,                0.48692,                0.82331,                0.22518,                0.83149,                0.95342,                 0.9283,                0.95821,                0.71168,                0.93682,                0.90403,                0.94184,                0.65509,                0.85895,                 1.5166,                0.38361,                 1.0031,               0.000991,               0.000991,               0.000991
                     93,                0.47874,                0.80903,                0.22207,                0.82864,                0.95558,                0.92496,                0.95334,                0.70524,                0.93971,                0.90496,                0.93913,                0.64921,                0.87056,                 1.5359,                0.37965,                 1.0122,               0.000892,               0.000892,               0.000892
                     94,                0.47215,                0.81367,                0.21841,                0.82575,                0.95272,                0.92674,                0.95494,                0.71161,                0.94477,                 0.9034,                0.94097,                0.65772,                 0.8609,                 1.5242,                0.37809,                 1.0117,               0.000793,               0.000793,               0.000793
                     95,                0.46619,                0.80193,                0.21655,                 0.8282,                0.96406,                 0.9334,                0.95969,                0.71444,                0.94996,                 0.9134,                0.94501,                0.66198,                0.85636,                 1.5412,                0.37208,                 1.0095,               0.000694,               0.000694,               0.000694
                     96,                0.46157,                 0.7987,                 0.2154,                0.82437,                 0.9544,                0.93249,                0.95745,                0.71378,                0.94952,                0.89914,                0.94202,                 0.6575,                0.85419,                 1.5311,                0.37329,                 1.0054,               0.000595,               0.000595,               0.000595
                     97,                0.46366,                0.79334,                0.21386,                0.82337,                0.95598,                0.93518,                0.96064,                0.71449,                0.95053,                0.90851,                0.94263,                0.65522,                0.86105,                 1.5483,                0.36948,                 1.0149,               0.000496,               0.000496,               0.000496
                     98,                0.45642,                0.79591,                0.21168,                0.82713,                0.95473,                 0.9334,                0.95995,                0.71468,                0.94822,                0.91212,                0.94612,                0.65471,                0.86371,                 1.5511,                0.37494,                 1.0154,               0.000397,               0.000397,               0.000397
                     99,                0.44985,                0.78654,                0.21034,                0.82658,                0.95161,                0.93007,                0.95684,                0.71325,                0.94399,                0.91225,                0.94264,                0.65536,                0.86381,                 1.5515,                 0.3694,                 1.0184,               0.000298,               0.000298,               0.000298
